"Dataset_Type","Sample_Size","Simulation","n","p","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Null Synthetic",50,32,50,200,1.23211490968505,0.527363184079602,FALSE,0.998600729109921,0.497,FALSE,1.1193527235455,0.158,FALSE,0.718057141228098,0.956,FALSE,0.952832972898992,0.541,FALSE,0.727763478900581,0.918,FALSE,"BrayCurtis",1.1193527235455
"Null Real Shuffled",50,32,50,130,1.07256517706919,0.706467661691542,FALSE,0.869902982581411,0.544,FALSE,0.489132179953717,0.907,FALSE,0.467021321385637,0.733,FALSE,0.591610073511319,0.696,FALSE,-0.303554728987018,0.995,FALSE,"Euclidean",0.869902982581411
"Null Synthetic",100,32,100,200,1.36068081566861,0.373134328358209,FALSE,1.02845307648182,0.367,FALSE,1.10038732387936,0.19,FALSE,0.93770038274871,0.628,FALSE,0.890358693996945,0.666,FALSE,0.939130947920224,0.592,FALSE,"BrayCurtis",1.10038732387936
"Null Synthetic",50,4,50,200,1.12619858170188,0.81592039800995,FALSE,0.969021668056225,0.595,FALSE,1.03754384412854,0.377,FALSE,1.18116802020051,0.141,FALSE,1.46878464921995,0.025,TRUE,1.01718807594043,0.489,FALSE,"WeightedUniFrac",1.46878464921995
"Null Real Shuffled",100,32,100,130,1.02086776048346,0.751243781094527,FALSE,0.711647500434879,0.764,FALSE,0.55793601430399,0.866,FALSE,0.150371376897501,0.925,FALSE,0.340770944648693,0.897,FALSE,0.161408801352948,0.871,FALSE,"Euclidean",0.711647500434879
"Null Synthetic",200,32,200,200,1.30341739642127,0.587064676616915,FALSE,0.979414900682104,0.564,FALSE,0.851614383527794,0.897,FALSE,0.904836580409499,0.706,FALSE,0.841960563062485,0.76,FALSE,0.836232976640739,0.771,FALSE,"Euclidean",0.979414900682104
"Null Real Shuffled",200,32,200,130,0.977503513290031,0.810945273631841,FALSE,0.874079572016688,0.544,FALSE,0.837838858774788,0.568,FALSE,0.010245023733721,0.967,FALSE,0.609505735555999,0.728,FALSE,-0.0933200385193991,0.966,FALSE,"Euclidean",0.874079572016688
"Null Synthetic",50,33,50,200,1.09246204683487,0.895522388059702,FALSE,0.88852452893913,0.852,FALSE,1.04718253220748,0.337,FALSE,0.898269528818942,0.711,FALSE,0.789030560892645,0.87,FALSE,0.942779935049244,0.591,FALSE,"BrayCurtis",1.04718253220748
"Null Real Shuffled",50,33,50,130,1.88130727529648,0.119402985074627,FALSE,1.67979781529754,0.071,FALSE,2.54615128448972,0.025,TRUE,0.380805783426257,0.763,FALSE,1.68728926728729,0.132,FALSE,0.488987707044384,0.667,FALSE,"BrayCurtis",2.54615128448972
"Null Synthetic",100,33,100,200,1.18630780124662,0.830845771144279,FALSE,0.910511178878358,0.789,FALSE,1.05196204605441,0.307,FALSE,0.999760063027526,0.488,FALSE,1.13974077795593,0.239,FALSE,0.892178826445652,0.702,FALSE,"WeightedUniFrac",1.13974077795593
"Null Real Shuffled",100,33,100,130,1.83012530883754,0.17910447761194,FALSE,1.12650261646824,0.307,FALSE,1.2810112579049,0.246,FALSE,1.0906764927155,0.321,FALSE,1.08231981383993,0.379,FALSE,0.901549562549304,0.4,FALSE,"BrayCurtis",1.2810112579049
"Null Synthetic",200,33,200,200,1.27677295402477,0.676616915422886,FALSE,0.952086188273878,0.7,FALSE,0.902678615876172,0.804,FALSE,0.986723823585237,0.492,FALSE,0.683336281455761,0.951,FALSE,0.911466235934785,0.654,FALSE,"Jaccard",0.986723823585237
"Null Real Shuffled",200,33,200,130,1.71087760932161,0.189054726368159,FALSE,1.31900542498989,0.177,FALSE,1.29399172631619,0.228,FALSE,1.27702265738513,0.254,FALSE,1.50309584008913,0.154,FALSE,1.22872844271604,0.294,FALSE,"WeightedUniFrac",1.50309584008913
"Null Synthetic",50,34,50,200,1.21430317322453,0.562189054726368,FALSE,1.02492252844233,0.387,FALSE,1.04691654610576,0.345,FALSE,0.859633394834281,0.798,FALSE,1.01000820213138,0.433,FALSE,0.852446901110816,0.786,FALSE,"BrayCurtis",1.04691654610576
"Null Real Shuffled",50,1,50,130,1.15298679052416,0.577114427860697,FALSE,0.821466574113742,0.573,FALSE,0.567577043509738,0.813,FALSE,0.243584388564467,0.845,FALSE,0.882632795571973,0.455,FALSE,0.074238646824592,0.937,FALSE,"WeightedUniFrac",0.882632795571973
"Null Real Shuffled",50,4,50,130,1.25390545977642,0.462686567164179,FALSE,1.08711212746045,0.31,FALSE,0.73773900425744,0.606,FALSE,3.41089239946334,0.045,TRUE,0.650931035663731,0.643,FALSE,3.02242813713345,0.037,TRUE,"Jaccard",3.41089239946334
"Null Real Shuffled",50,34,50,130,1.42538478735541,0.308457711442786,FALSE,1.45061149703985,0.141,FALSE,2.03076915590664,0.053,FALSE,4.24680982626951,0.021,TRUE,1.97951669780542,0.068,FALSE,4.25638100596408,0.014,TRUE,"UnweightedUniFrac",4.25638100596408
"Null Synthetic",100,34,100,200,1.16080317781507,0.870646766169154,FALSE,0.88545877902988,0.884,FALSE,0.881253979582927,0.847,FALSE,0.818999828009262,0.844,FALSE,0.795569506090883,0.851,FALSE,0.865109419972552,0.719,FALSE,"Euclidean",0.88545877902988
"Null Real Shuffled",100,34,100,130,1.18053018985354,0.502487562189055,FALSE,0.927034820804879,0.491,FALSE,1.58370776503692,0.094,FALSE,0.16021132738737,0.893,FALSE,1.20918104599142,0.296,FALSE,0.00145614879389724,0.944,FALSE,"BrayCurtis",1.58370776503692
"Null Synthetic",200,34,200,200,1.45578980645291,0.208955223880597,FALSE,1.09034946454707,0.173,FALSE,0.907222916705067,0.803,FALSE,1.21111614686569,0.122,FALSE,0.947764014229022,0.522,FALSE,1.25323252817462,0.118,FALSE,"UnweightedUniFrac",1.25323252817462
"Null Real Shuffled",200,34,200,130,1.17007577929523,0.626865671641791,FALSE,0.754421748912653,0.713,FALSE,0.707111801201382,0.692,FALSE,2.11052922732127,0.105,FALSE,0.34049494235266,0.915,FALSE,2.37332212535263,0.092,FALSE,"UnweightedUniFrac",2.37332212535263
"Null Synthetic",50,35,50,200,1.25488595269119,0.328358208955224,FALSE,1.08804606607165,0.195,FALSE,0.953154661337457,0.66,FALSE,1.16051452655454,0.178,FALSE,0.95085595620153,0.555,FALSE,1.14698893023616,0.231,FALSE,"Jaccard",1.16051452655454
"Null Real Shuffled",50,35,50,130,1.22695232903617,0.537313432835821,FALSE,0.694085942754677,0.734,FALSE,0.750808447862053,0.605,FALSE,2.3664474589772,0.063,FALSE,0.797064054837375,0.568,FALSE,2.46759625777169,0.098,FALSE,"UnweightedUniFrac",2.46759625777169
"Null Synthetic",100,35,100,200,1.305264132637,0.562189054726368,FALSE,1.0223956062392,0.405,FALSE,1.11009273234845,0.181,FALSE,1.05062099307944,0.38,FALSE,1.33889934711856,0.068,FALSE,1.08973151815251,0.331,FALSE,"WeightedUniFrac",1.33889934711856
"Null Real Shuffled",100,35,100,130,2.05694150892714,0.104477611940299,FALSE,1.49830480528048,0.111,FALSE,1.33219132915355,0.226,FALSE,1.29637275155922,0.251,FALSE,1.04987982745472,0.355,FALSE,1.06244445314457,0.357,FALSE,"Euclidean",1.49830480528048
"Null Synthetic",200,35,200,200,1.35348978507106,0.487562189054726,FALSE,1.0140737276851,0.44,FALSE,1.07972010680379,0.218,FALSE,0.927669027130985,0.661,FALSE,0.761025392176956,0.882,FALSE,0.93371916846288,0.622,FALSE,"BrayCurtis",1.07972010680379
"Null Synthetic",100,4,100,200,1.15431878969312,0.885572139303483,FALSE,0.880755242393537,0.899,FALSE,0.996779017828396,0.49,FALSE,0.925512781641118,0.635,FALSE,0.943885181615915,0.541,FALSE,0.916198152106863,0.646,FALSE,"BrayCurtis",0.996779017828396
"Null Real Shuffled",200,35,200,130,1.00531093045139,0.766169154228856,FALSE,0.826662471517473,0.588,FALSE,0.757064440171189,0.637,FALSE,1.3248126727026,0.262,FALSE,0.802659910556252,0.537,FALSE,1.62618843898692,0.18,FALSE,"UnweightedUniFrac",1.62618843898692
"Null Synthetic",50,36,50,200,1.23294589619802,0.487562189054726,FALSE,0.959974301624488,0.657,FALSE,0.963988330965295,0.631,FALSE,0.984292985662256,0.576,FALSE,0.927373577787733,0.583,FALSE,1.18195366875667,0.177,FALSE,"UnweightedUniFrac",1.18195366875667
"Null Real Shuffled",50,36,50,130,1.85316557300451,0.0995024875621891,FALSE,1.21470246263337,0.23,FALSE,1.17640190611318,0.26,FALSE,0.935928598901408,0.438,FALSE,0.761848269747913,0.538,FALSE,1.51497729773824,0.191,FALSE,"UnweightedUniFrac",1.51497729773824
"Null Synthetic",100,36,100,200,1.28882281773523,0.54726368159204,FALSE,1.02447082733188,0.411,FALSE,1.01755917984524,0.435,FALSE,0.900582722530594,0.722,FALSE,1.03671567526332,0.373,FALSE,1.12310991766331,0.26,FALSE,"UnweightedUniFrac",1.12310991766331
"Null Real Shuffled",100,36,100,130,1.54420250875845,0.288557213930348,FALSE,0.894187614094877,0.492,FALSE,0.962321048565597,0.43,FALSE,1.09291523683062,0.348,FALSE,0.493348668238111,0.744,FALSE,1.0603515773393,0.36,FALSE,"Jaccard",1.09291523683062
"Null Synthetic",200,36,200,200,1.27476530530978,0.686567164179104,FALSE,0.92819965343335,0.752,FALSE,0.989273980548552,0.513,FALSE,0.978621850133303,0.559,FALSE,0.796384362972083,0.778,FALSE,0.860447287616955,0.741,FALSE,"BrayCurtis",0.989273980548552
"Null Real Shuffled",200,36,200,130,2.43262811030973,0.0497512437810945,TRUE,1.31387810416753,0.157,FALSE,1.22514975574277,0.267,FALSE,0.65232601254718,0.602,FALSE,0.683343984050416,0.614,FALSE,0.591914619458404,0.607,FALSE,"Euclidean",1.31387810416753
"Null Synthetic",50,37,50,200,1.25697328058079,0.398009950248756,FALSE,1.05308685941603,0.273,FALSE,1.05903471519921,0.325,FALSE,1.09939169462531,0.3,FALSE,0.947270265428673,0.527,FALSE,0.933239547261655,0.619,FALSE,"Jaccard",1.09939169462531
"Null Real Shuffled",50,37,50,130,1.04018580323038,0.711442786069652,FALSE,0.976253239106913,0.456,FALSE,1.05655082916752,0.368,FALSE,0.208039686702094,0.847,FALSE,1.26353681892483,0.264,FALSE,0.161317168872972,0.846,FALSE,"WeightedUniFrac",1.26353681892483
"Null Synthetic",100,37,100,200,1.37155802360767,0.26865671641791,FALSE,1.03417128137135,0.356,FALSE,0.806075011533538,0.968,FALSE,1.1478279482803,0.207,FALSE,0.781805685863068,0.826,FALSE,1.09081229271168,0.304,FALSE,"Jaccard",1.1478279482803
"Null Real Shuffled",100,4,100,130,0.900343706731556,0.875621890547264,FALSE,0.680794009141934,0.792,FALSE,0.509604503962902,0.91,FALSE,0.410111958754396,0.744,FALSE,0.482846623203877,0.768,FALSE,0.652453252560979,0.556,FALSE,"Euclidean",0.680794009141934
"Null Real Shuffled",100,37,100,130,1.57366570882671,0.293532338308458,FALSE,1.03329929069289,0.411,FALSE,0.755318106803352,0.677,FALSE,0.282032415718704,0.826,FALSE,0.710739731229403,0.607,FALSE,0.0861525776633706,0.887,FALSE,"Euclidean",1.03329929069289
"Null Synthetic",200,37,200,200,1.18138965316341,0.920398009950249,FALSE,0.87037813639015,0.912,FALSE,0.806989878121656,0.955,FALSE,0.882246484165901,0.746,FALSE,0.989170228461461,0.43,FALSE,0.936206952491644,0.627,FALSE,"WeightedUniFrac",0.989170228461461
"Null Real Shuffled",200,37,200,130,1.28052982166348,0.462686567164179,FALSE,0.795676390957603,0.626,FALSE,0.801225960854581,0.569,FALSE,0.366463892617912,0.76,FALSE,0.568504361815147,0.728,FALSE,0.353892285372423,0.731,FALSE,"BrayCurtis",0.801225960854581
"Null Synthetic",50,38,50,200,1.36417032023777,0.0995024875621891,FALSE,1.16068566336371,0.07,FALSE,0.97965861188369,0.578,FALSE,1.33413325603108,0.042,TRUE,1.15193285366132,0.243,FALSE,1.419889964188,0.024,TRUE,"UnweightedUniFrac",1.419889964188
"Null Real Shuffled",50,38,50,130,1.39317018464272,0.323383084577114,FALSE,1.12596405843095,0.311,FALSE,1.14071511896335,0.312,FALSE,0.0870535194561597,0.911,FALSE,1.17838410036832,0.302,FALSE,0.122282206493665,0.871,FALSE,"WeightedUniFrac",1.17838410036832
"Null Synthetic",100,38,100,200,1.28370476067952,0.527363184079602,FALSE,0.987856262467049,0.514,FALSE,0.931038827994224,0.714,FALSE,1.17589671898865,0.154,FALSE,1.06329754231974,0.352,FALSE,1.17851536126317,0.196,FALSE,"UnweightedUniFrac",1.17851536126317
"Null Real Shuffled",100,38,100,130,0.898172442200967,0.840796019900497,FALSE,0.664082624324082,0.799,FALSE,0.484451874203125,0.909,FALSE,0.154203929213029,0.892,FALSE,0.655254107509218,0.682,FALSE,0.0825319829125895,0.9,FALSE,"Euclidean",0.664082624324082
"Null Synthetic",200,38,200,200,1.54393033735855,0.0497512437810945,TRUE,1.13287915448743,0.087,FALSE,1.14228100128813,0.127,FALSE,1.08719632986865,0.289,FALSE,0.79602659766499,0.808,FALSE,1.11470710809071,0.274,FALSE,"BrayCurtis",1.14228100128813
"Null Real Shuffled",200,38,200,130,1.25950887360172,0.577114427860697,FALSE,0.889713407457136,0.543,FALSE,0.962070474486911,0.464,FALSE,0.824014375691461,0.456,FALSE,0.724602534929572,0.562,FALSE,0.677544889817331,0.499,FALSE,"BrayCurtis",0.962070474486911
"Null Synthetic",50,39,50,200,1.23555771826929,0.462686567164179,FALSE,1.01004427122015,0.471,FALSE,0.985978998517287,0.568,FALSE,0.99595628522462,0.533,FALSE,0.787261467559589,0.785,FALSE,0.802914372894435,0.828,FALSE,"Euclidean",1.01004427122015
"Null Synthetic",200,4,200,200,1.17924469082444,0.920398009950249,FALSE,0.873459309149771,0.885,FALSE,0.941987952135782,0.671,FALSE,0.878638531870667,0.742,FALSE,0.83054473725347,0.734,FALSE,0.841317312251848,0.767,FALSE,"BrayCurtis",0.941987952135782
"Null Real Shuffled",50,39,50,130,1.44503983392473,0.36318407960199,FALSE,1.2835164864516,0.218,FALSE,1.34153735047694,0.222,FALSE,0.582318989088051,0.594,FALSE,2.10680230991878,0.081,FALSE,0.152395971237366,0.826,FALSE,"WeightedUniFrac",2.10680230991878
"Null Synthetic",100,39,100,200,1.57762576226813,0.00995024875621891,TRUE,1.2366421112037,0.015,TRUE,1.16710355831929,0.067,FALSE,1.22955259067073,0.092,FALSE,1.33027310824901,0.091,FALSE,1.2387467108406,0.149,FALSE,"WeightedUniFrac",1.33027310824901
"Null Real Shuffled",100,39,100,130,1.52794338882373,0.298507462686567,FALSE,1.27743694686352,0.192,FALSE,1.0548870456718,0.369,FALSE,1.12276365562602,0.314,FALSE,1.31219999687169,0.225,FALSE,1.2569514377447,0.305,FALSE,"WeightedUniFrac",1.31219999687169
"Null Synthetic",200,39,200,200,1.29989917688155,0.616915422885572,FALSE,0.971282346595609,0.625,FALSE,0.791233498461908,0.97,FALSE,0.966504777220967,0.562,FALSE,0.640124729756621,0.971,FALSE,1.04945051411935,0.392,FALSE,"UnweightedUniFrac",1.04945051411935
"Null Real Shuffled",200,39,200,130,2.90955478147327,0.0149253731343284,TRUE,1.81926468429983,0.05,FALSE,1.60069035110745,0.1,FALSE,1.4598268693406,0.211,FALSE,1.23735597346057,0.267,FALSE,1.88420974894926,0.137,FALSE,"UnweightedUniFrac",1.88420974894926
"Null Synthetic",50,40,50,200,1.38176066943751,0.0646766169154229,FALSE,1.10466839338975,0.157,FALSE,0.999878368547336,0.49,FALSE,1.08224561641932,0.31,FALSE,0.810963076318887,0.824,FALSE,0.988067239844754,0.519,FALSE,"Euclidean",1.10466839338975
"Null Real Shuffled",50,40,50,130,1.17943533183508,0.482587064676617,FALSE,0.779001602092726,0.675,FALSE,0.895016157859737,0.508,FALSE,0.360526294512483,0.797,FALSE,1.03220060177924,0.337,FALSE,0.464411022746456,0.662,FALSE,"WeightedUniFrac",1.03220060177924
"Null Synthetic",100,40,100,200,1.30723481500074,0.412935323383085,FALSE,0.991661110222615,0.522,FALSE,0.943052610833255,0.66,FALSE,1.02651507303287,0.414,FALSE,0.883606133192292,0.672,FALSE,0.940105017056761,0.576,FALSE,"Jaccard",1.02651507303287
"Null Real Shuffled",100,40,100,130,0.931325983358568,0.805970149253731,FALSE,1.02333992219659,0.36,FALSE,1.39110160038913,0.181,FALSE,1.09374052857154,0.318,FALSE,1.45877337060179,0.173,FALSE,1.05852161577894,0.346,FALSE,"WeightedUniFrac",1.45877337060179
"Null Synthetic",200,40,200,200,1.3854037182283,0.333333333333333,FALSE,1.01044146902095,0.428,FALSE,0.942689463511299,0.666,FALSE,0.89211710624257,0.723,FALSE,0.967388730565731,0.463,FALSE,0.718808310319604,0.912,FALSE,"Euclidean",1.01044146902095
"Null Real Shuffled",200,4,200,130,1.06704347681068,0.701492537313433,FALSE,0.708499211056513,0.744,FALSE,0.721172417874164,0.681,FALSE,0.145340583199041,0.912,FALSE,0.632816805828554,0.639,FALSE,0.0577785506674737,0.929,FALSE,"BrayCurtis",0.721172417874164
"Null Real Shuffled",200,40,200,130,0.982987181103524,0.751243781094527,FALSE,0.676192078185288,0.792,FALSE,0.923543728134194,0.485,FALSE,0.380700484862624,0.732,FALSE,0.414770063594044,0.848,FALSE,0.283669451051507,0.8,FALSE,"BrayCurtis",0.923543728134194
"Null Synthetic",50,41,50,200,1.07074242268605,0.91044776119403,FALSE,0.867284658082997,0.917,FALSE,0.919125147590853,0.744,FALSE,0.638523943401779,0.983,FALSE,1.00649448293322,0.453,FALSE,0.624105527845071,0.965,FALSE,"WeightedUniFrac",1.00649448293322
"Null Real Shuffled",50,41,50,130,1.31515456973683,0.338308457711443,FALSE,1.0890859609727,0.326,FALSE,1.45021363804571,0.181,FALSE,2.29592989717711,0.097,FALSE,2.42093116090578,0.053,FALSE,2.84344264441076,0.059,FALSE,"UnweightedUniFrac",2.84344264441076
"Null Synthetic",100,41,100,200,1.35591005403285,0.328358208955224,FALSE,1.07419303334952,0.226,FALSE,1.00484277722458,0.464,FALSE,1.1527169542029,0.2,FALSE,1.25326242059522,0.121,FALSE,1.14742641190295,0.26,FALSE,"WeightedUniFrac",1.25326242059522
"Null Real Shuffled",100,41,100,130,1.51204739250316,0.258706467661692,FALSE,1.1653770032218,0.258,FALSE,1.31543017996875,0.231,FALSE,0.755956841215912,0.541,FALSE,0.691329082699989,0.601,FALSE,0.697984196880645,0.542,FALSE,"BrayCurtis",1.31543017996875
"Null Synthetic",200,41,200,200,1.12938924174237,0.970149253731343,FALSE,0.881207393659807,0.881,FALSE,0.907709788641274,0.797,FALSE,0.726431850366304,0.947,FALSE,0.810274184241119,0.751,FALSE,0.684789669153588,0.936,FALSE,"BrayCurtis",0.907709788641274
"Null Real Shuffled",200,41,200,130,1.68166238693192,0.26865671641791,FALSE,0.845733932237837,0.567,FALSE,1.0623836231677,0.366,FALSE,0.483974198828523,0.664,FALSE,0.924124250298251,0.412,FALSE,0.312828442326835,0.77,FALSE,"BrayCurtis",1.0623836231677
"Null Synthetic",50,42,50,200,1.06731065338251,0.920398009950249,FALSE,0.867493585671075,0.921,FALSE,0.888537453336026,0.858,FALSE,1.06355426792555,0.364,FALSE,0.634001080003377,0.985,FALSE,1.1259463482264,0.254,FALSE,"UnweightedUniFrac",1.1259463482264
"Null Real Shuffled",50,42,50,130,1.25995724039842,0.502487562189055,FALSE,0.937244463294846,0.487,FALSE,0.892543219247708,0.51,FALSE,0.190089277092688,0.87,FALSE,0.808802937866154,0.488,FALSE,0.0996461267670237,0.894,FALSE,"Euclidean",0.937244463294846
"Null Synthetic",100,42,100,200,1.2616757857213,0.532338308457711,FALSE,0.94946888073681,0.673,FALSE,0.973009001614286,0.58,FALSE,0.971189577384916,0.572,FALSE,1.03848337174622,0.37,FALSE,0.976837622986615,0.53,FALSE,"WeightedUniFrac",1.03848337174622
"Null Synthetic",50,5,50,200,1.34999234714281,0.119402985074627,FALSE,1.09269861790045,0.162,FALSE,0.983410221084893,0.533,FALSE,1.10985595561709,0.269,FALSE,0.964837494402341,0.5,FALSE,1.1472781628413,0.224,FALSE,"UnweightedUniFrac",1.1472781628413
"Null Real Shuffled",100,42,100,130,1.46771303610912,0.313432835820896,FALSE,0.870348039882329,0.556,FALSE,1.22617225822831,0.263,FALSE,0.320479350432946,0.766,FALSE,0.779655677287469,0.514,FALSE,0.411189503732195,0.681,FALSE,"BrayCurtis",1.22617225822831
"Null Synthetic",200,42,200,200,1.40123942587264,0.333333333333333,FALSE,1.0165646643325,0.433,FALSE,1.02770231874133,0.42,FALSE,0.844925938723742,0.816,FALSE,0.778577618357623,0.847,FALSE,0.64719861936653,0.969,FALSE,"BrayCurtis",1.02770231874133
"Null Real Shuffled",200,42,200,130,1.19362476085552,0.577114427860697,FALSE,0.840553290019787,0.601,FALSE,0.832846405718516,0.544,FALSE,0.307865027190743,0.797,FALSE,0.676992247186659,0.662,FALSE,0.262898922696741,0.785,FALSE,"Euclidean",0.840553290019787
"Null Synthetic",50,43,50,200,1.03294154834117,0.940298507462687,FALSE,0.785954818624271,0.983,FALSE,0.82152511572517,0.939,FALSE,0.891228853485502,0.718,FALSE,0.82964354475415,0.754,FALSE,0.907270102478229,0.642,FALSE,"UnweightedUniFrac",0.907270102478229
"Null Real Shuffled",50,43,50,130,0.825372031992988,0.875621890547264,FALSE,0.685048109226492,0.786,FALSE,0.92338106704279,0.477,FALSE,0.396666378974869,0.743,FALSE,0.806381709882028,0.522,FALSE,0.261550631062175,0.774,FALSE,"BrayCurtis",0.92338106704279
"Null Synthetic",100,43,100,200,1.25331763678781,0.656716417910448,FALSE,0.976725389900058,0.616,FALSE,0.827446329318494,0.923,FALSE,1.06419331195775,0.324,FALSE,0.68390086106235,0.955,FALSE,0.997476947683567,0.479,FALSE,"Jaccard",1.06419331195775
"Null Real Shuffled",100,43,100,130,1.42986096462321,0.298507462686567,FALSE,0.946166647168309,0.439,FALSE,0.790679426273152,0.611,FALSE,1.18830307521772,0.308,FALSE,0.653889750948216,0.665,FALSE,1.16938916708157,0.332,FALSE,"Jaccard",1.18830307521772
"Null Synthetic",200,43,200,200,1.36932499057199,0.388059701492537,FALSE,1.01478151779451,0.426,FALSE,1.03544701617086,0.357,FALSE,0.972766530718653,0.542,FALSE,1.05188664965478,0.348,FALSE,0.818104925307891,0.789,FALSE,"WeightedUniFrac",1.05188664965478
"Null Real Shuffled",200,43,200,130,2.02879338133416,0.104477611940299,FALSE,1.58594874660549,0.087,FALSE,1.56992985847613,0.12,FALSE,3.09804499930208,0.037,TRUE,1.33136664218746,0.243,FALSE,2.63749340669365,0.056,FALSE,"Jaccard",3.09804499930208
"Null Synthetic",50,44,50,200,1.06188296643516,0.925373134328358,FALSE,0.875357085189952,0.886,FALSE,0.954298390414461,0.628,FALSE,0.527548392394424,1,FALSE,1.03707896977253,0.382,FALSE,0.565771162440686,0.99,FALSE,"WeightedUniFrac",1.03707896977253
"Null Real Shuffled",50,5,50,130,0.953313103898737,0.761194029850746,FALSE,0.593712693416862,0.902,FALSE,0.429675741012471,0.932,FALSE,1.67488291427259,0.178,FALSE,0.540130527552973,0.739,FALSE,2.2931687248534,0.087,FALSE,"UnweightedUniFrac",2.2931687248534
"Null Real Shuffled",50,44,50,130,1.85017374917798,0.124378109452736,FALSE,1.24924826440461,0.206,FALSE,1.13477477995198,0.327,FALSE,1.35902454234856,0.237,FALSE,0.786099527589077,0.565,FALSE,1.00911914308597,0.401,FALSE,"Jaccard",1.35902454234856
"Null Synthetic",100,44,100,200,1.32505797277745,0.447761194029851,FALSE,1.0202495358789,0.404,FALSE,0.958177983347191,0.628,FALSE,1.29973187555979,0.053,FALSE,1.24165681159579,0.158,FALSE,1.34719708887054,0.066,FALSE,"UnweightedUniFrac",1.34719708887054
"Null Real Shuffled",100,44,100,130,1.08456976213864,0.646766169154229,FALSE,0.731214917831801,0.689,FALSE,1.17583083479777,0.302,FALSE,0.368680051295872,0.743,FALSE,0.99493313004136,0.405,FALSE,0.713865213941311,0.501,FALSE,"BrayCurtis",1.17583083479777
"Null Synthetic",200,44,200,200,1.26009166612019,0.721393034825871,FALSE,0.902615104844669,0.835,FALSE,0.88744360629474,0.852,FALSE,0.860507120799892,0.785,FALSE,0.928707040295758,0.582,FALSE,0.867796878447751,0.723,FALSE,"WeightedUniFrac",0.928707040295758
"Null Real Shuffled",200,44,200,130,1.32740624451995,0.447761194029851,FALSE,0.889465472381078,0.539,FALSE,0.806696008455489,0.582,FALSE,0.845477362137014,0.471,FALSE,1.01355298830146,0.387,FALSE,0.312376629659437,0.79,FALSE,"WeightedUniFrac",1.01355298830146
"Null Synthetic",50,45,50,200,1.29442893864192,0.263681592039801,FALSE,1.06798120140734,0.253,FALSE,1.14201991485831,0.119,FALSE,0.87652881390162,0.748,FALSE,0.949215069313722,0.539,FALSE,0.866475459594457,0.732,FALSE,"BrayCurtis",1.14201991485831
"Null Real Shuffled",50,45,50,130,1.19649856530995,0.567164179104478,FALSE,0.803037362929733,0.673,FALSE,1.13693215433653,0.307,FALSE,0.372000615116619,0.767,FALSE,1.29380241771712,0.23,FALSE,0.181822821441435,0.853,FALSE,"WeightedUniFrac",1.29380241771712
"Null Synthetic",100,45,100,200,1.18210423898471,0.850746268656716,FALSE,0.888824293441773,0.882,FALSE,0.992614110813869,0.498,FALSE,0.958328395867838,0.593,FALSE,1.16166132779433,0.206,FALSE,0.830379349168652,0.802,FALSE,"WeightedUniFrac",1.16166132779433
"Null Real Shuffled",100,45,100,130,1.06632704458554,0.686567164179104,FALSE,0.777383271986248,0.665,FALSE,0.739457037172442,0.595,FALSE,0.241449556138628,0.848,FALSE,0.953093370478121,0.386,FALSE,0.398594246311229,0.677,FALSE,"WeightedUniFrac",0.953093370478121
"Null Synthetic",200,45,200,200,1.40894567316134,0.338308457711443,FALSE,1.03410807487406,0.353,FALSE,0.933857311909936,0.731,FALSE,1.18076422982729,0.132,FALSE,0.812717549805579,0.776,FALSE,1.21652957472946,0.142,FALSE,"UnweightedUniFrac",1.21652957472946
"Null Synthetic",100,5,100,200,1.32812413872604,0.358208955223881,FALSE,1.01313037118987,0.449,FALSE,0.963304951829933,0.595,FALSE,1.1800165909747,0.141,FALSE,1.1845881386249,0.169,FALSE,1.04436745059806,0.41,FALSE,"WeightedUniFrac",1.1845881386249
"Null Real Shuffled",200,45,200,130,1.09139593881795,0.741293532338308,FALSE,0.838708226570456,0.593,FALSE,0.524108639780666,0.873,FALSE,0.724311254545828,0.53,FALSE,0.344793524964766,0.924,FALSE,1.26023778469658,0.25,FALSE,"UnweightedUniFrac",1.26023778469658
"Null Synthetic",50,46,50,200,1.00513169781119,0.980099502487562,FALSE,0.796900578761243,0.98,FALSE,0.771725809120844,0.982,FALSE,0.968096467206219,0.566,FALSE,0.65160312047598,0.967,FALSE,1.10655212268608,0.285,FALSE,"UnweightedUniFrac",1.10655212268608
"Null Real Shuffled",50,46,50,130,1.18006156020454,0.527363184079602,FALSE,0.927773584642016,0.464,FALSE,0.934208856160288,0.462,FALSE,0.948603090650807,0.372,FALSE,0.911711308275441,0.45,FALSE,1.33651756250272,0.264,FALSE,"UnweightedUniFrac",1.33651756250272
"Null Synthetic",100,46,100,200,1.21719611804066,0.751243781094527,FALSE,0.919734349913191,0.781,FALSE,0.9042963698846,0.785,FALSE,0.916432453043665,0.654,FALSE,1.00216557993536,0.436,FALSE,0.824449276053125,0.785,FALSE,"WeightedUniFrac",1.00216557993536
