"Effect_Size","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Large",100,26,2.11027178012711,0.00497512437810945,TRUE,2.0198330162661,0.001,TRUE,4.76417413958444,0.001,TRUE,1.22955259067073,0.091,FALSE,4.41297167815763,0.001,TRUE,1.19289080275197,0.187,FALSE,"BrayCurtis",4.76417413958444
"Small",200,26,1.45436024323596,0.159203980099502,FALSE,1.09460781518314,0.17,FALSE,1.22267301447554,0.038,TRUE,1.06302629057779,0.372,FALSE,1.50368059220852,0.023,TRUE,1.12543987495592,0.25,FALSE,"WeightedUniFrac",1.50368059220852
"Medium",200,26,1.80988939384776,0.00497512437810945,TRUE,1.39923613789247,0.001,TRUE,2.07546504586756,0.001,TRUE,0.966504777220967,0.562,FALSE,1.83688945472692,0.006,TRUE,1.04945051411935,0.392,FALSE,"BrayCurtis",2.07546504586756
"Large",200,26,3.34428568432714,0.00497512437810945,TRUE,3.14827052949443,0.001,TRUE,8.76782514518977,0.001,TRUE,1.23873139464641,0.096,FALSE,7.01890269744459,0.001,TRUE,1.08395406310449,0.331,FALSE,"BrayCurtis",8.76782514518977
"Small",50,27,1.3656503452737,0.0845771144278607,FALSE,1.12334616111409,0.121,FALSE,1.05218788092229,0.328,FALSE,1.08224561641932,0.311,FALSE,0.756733121744516,0.885,FALSE,0.896996347510865,0.687,FALSE,"Euclidean",1.12334616111409
"Medium",50,27,1.20674457829887,0.54228855721393,FALSE,0.998861569730703,0.493,FALSE,1.30994043801728,0.004,TRUE,0.753043727426431,0.926,FALSE,1.58076899593426,0.01,TRUE,0.664294322867369,0.964,FALSE,"WeightedUniFrac",1.58076899593426
"Large",50,27,1.63064372358542,0.00497512437810945,TRUE,1.56253733028588,0.001,TRUE,2.77705065845651,0.001,TRUE,0.974756872537312,0.529,FALSE,2.57970452887788,0.001,TRUE,0.81446175367935,0.813,FALSE,"BrayCurtis",2.77705065845651
"Small",100,27,1.18066321798966,0.840796019900497,FALSE,0.938690189249277,0.71,FALSE,0.930291150688609,0.718,FALSE,1.03857689509109,0.393,FALSE,0.717005387968846,0.876,FALSE,1.1124272399357,0.278,FALSE,"UnweightedUniFrac",1.1124272399357
"Medium",100,27,1.5934761798776,0.0199004975124378,TRUE,1.29497107231263,0.003,TRUE,1.81529327194365,0.001,TRUE,0.790786920352407,0.881,FALSE,1.86662772708444,0.002,TRUE,0.843750461264341,0.769,FALSE,"WeightedUniFrac",1.86662772708444
"Large",100,3,2.27700234505351,0.00497512437810945,TRUE,1.96310289838514,0.001,TRUE,4.52890769708049,0.001,TRUE,1.19694864741748,0.137,FALSE,5.35561252622791,0.001,TRUE,1.27561003900152,0.112,FALSE,"WeightedUniFrac",5.35561252622791
"Large",100,27,2.25972776841093,0.00497512437810945,TRUE,2.00151431968027,0.001,TRUE,4.66308223985841,0.001,TRUE,0.706937121197729,0.963,FALSE,5.94656478291433,0.001,TRUE,0.807394484528289,0.841,FALSE,"WeightedUniFrac",5.94656478291433
"Small",200,27,1.62673080279297,0.00995024875621891,TRUE,1.25500514640952,0.009,TRUE,1.25536229679047,0.024,TRUE,1.20276275362573,0.124,FALSE,1.23400170373803,0.132,FALSE,1.40298697254584,0.036,TRUE,"UnweightedUniFrac",1.40298697254584
"Medium",200,27,1.78719312887419,0.00497512437810945,TRUE,1.4040482331418,0.001,TRUE,2.35357569766133,0.001,TRUE,0.871064003031111,0.76,FALSE,2.99265951903995,0.001,TRUE,0.931306555506444,0.621,FALSE,"WeightedUniFrac",2.99265951903995
"Large",200,27,3.17526022020521,0.00497512437810945,TRUE,2.84516226259585,0.001,TRUE,7.56984601942353,0.001,TRUE,0.985104312125523,0.526,FALSE,10.7715156804828,0.001,TRUE,0.922959906855645,0.635,FALSE,"WeightedUniFrac",10.7715156804828
